variable,table,domain,description,source,producer,role,status,hypotheses,expected_missing,missing_note,notes
bpsqi_global,master,survey_sleep,Brief PSQI global score,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bpsqi,exploratory,current,,,,
bpsqi_latency,master,survey_sleep,Brief PSQI component: latency,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bpsqi,exploratory,current,,,,
bpsqi_n_items,master,item_count,Items answered for BPSQI,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bpsqi,qc,current,,,,
bpsqi_quality,master,survey_sleep,Brief PSQI component: quality,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_bpsqi,exploratory,current,,,,
bsmas_total,master,survey_affect_social,Bergen Social Media Addiction Scale,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
bvmt_total,master,cognition,BVMT-R total,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_raw,legacy_composite_input,legacy,,age-gated,"Administered from ~age 56 only (24-28 of 29 aged 56+, 1 of 36 below). Not recoverable.",
crt_n_items,master,item_count,Items answered for CRT,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_crt,qc,current,,,,
crt_total,master,survey_decision,Cognitive Reflection Test total (tACS REDCap),REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_crt,exploratory,current,,,,
delta_accuracy,master,behaviour_accuracy,Active minus sham: proportion optimal choices,Bandit task behaviour (data/bandit),accuracy_analysis.compute_condition_level_accuracy -> cognitive_merge.build_subject_df,outcome,current,H2.2,by-design,Requires both sessions (H2-eligible subjects only).,
delta_alpha,master,behaviour_rl_mle,Active minus sham: RW learning rate (MLE),Bandit task behaviour (data/bandit),rescorla_wagner.fit_rw_by_condition(method=mle) -> cognitive_merge.build_subject_df,outcome,current,H2.2,by-design,Requires both sessions (H2-eligible subjects only).,MLE alpha pinned at 0/1 for ~1/3 of subjects; see _hb.
delta_alpha_hb,master,behaviour_rl_hb,"Active minus sham RW alpha, hierarchical",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",outcome,current,,by-design,As above.,
delta_asymptotic_acc,master,behaviour_derived,Active minus sham: proportion correct in the 5 trials before a reversal (stable-contingency performance),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_beta,master,behaviour_rl_mle,Active minus sham: RW inverse temperature (MLE),Bandit task behaviour (data/bandit),rescorla_wagner.fit_rw_by_condition(method=mle) -> cognitive_merge.build_subject_df,outcome,current,H2.2,by-design,Requires both sessions (H2-eligible subjects only).,MLE and hierarchical beta disagree (active r=.013); see _hb.
delta_beta_hb,master,behaviour_rl_hb,"Active minus sham RW beta, hierarchical",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",outcome,current,,by-design,As above.,
delta_guess_stim_rate,master,behaviour_derived,Active minus sham: proportion of runs the participant said they believed they were being stimulated,Bandit task behaviour (data/bandit),derived_behaviour.score_blinding -> build_master_data -> cognitive_merge.build_subject_df,qc,current,blinding check,,,Blinding integrity. delta_guess_stim_rate is the discrimination index (active - sham).
delta_lapse_rate,master,behaviour_derived,Active minus sham: proportion of trials with no response,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_n_rt_trials,master,behaviour_derived,Active minus sham: number of trials contributing to the RT measures,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,qc,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_p_shift_lose,master,behaviour_wsls,Active minus sham: P(shift | lose),Bandit task behaviour (data/bandit),wsls.compute_wsls_h1_h2 -> cognitive_merge.build_subject_df,outcome,current,H2.2,by-design,Requires both sessions (H2-eligible subjects only).,
delta_p_stay_win,master,behaviour_wsls,Active minus sham: P(stay | win),Bandit task behaviour (data/bandit),wsls.compute_wsls_h1_h2 -> cognitive_merge.build_subject_df,outcome,current,H2.2,by-design,Requires both sessions (H2-eligible subjects only).,
delta_persev_errors,master,behaviour_derived,Active minus sham: proportion incorrect in the 5 trials after a reversal (perseveration on the previously-good option),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_rt_cv,master,behaviour_derived,Active minus sham: coefficient of variation of response time,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_rt_mean,master,behaviour_derived,"Active minus sham: mean response time (ms), trials 200-1990 ms",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,H1 baseline; exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_rt_post_error,master,behaviour_derived,"Active minus sham: post-error slowing: mean RT after an incorrect choice minus after a correct one, within run",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_rt_post_loss,master,behaviour_derived,"Active minus sham: post-loss slowing: mean RT after an unrewarded trial minus after a rewarded one, within run",Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_rt_sd,master,behaviour_derived,Active minus sham: SD of response time (ms),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_switch_rate,master,behaviour_derived,Active minus sham: proportion of consecutive within-run trials on which the choice changed,Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
delta_ttc,master,behaviour_accuracy,Active minus sham trials to criterion,Bandit task behaviour (data/bandit),reversal_analysis.identify_reversals + compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,"H2.1, H2.2",by-design,Requires both sessions (H2-eligible subjects only).,"Parameters in config (TTC_CRITERION, REVERSAL_WINDOW_*). Moved from notebook-only to the master build 2026-09-22."
delta_ttc_censored,master,behaviour_accuracy,"Active minus sham: mean trials-to-criterion with unsolved reversals filled with the trials available (a lower bound), removing the survivorship bias in the raw mean",Bandit task behaviour (data/bandit),reversal_analysis.compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,H1 baseline; H2.1; H2.2,,,Primary under TTC_CENSORING = censored. The raw column averages only solved reversals.
delta_ttc_reach_rate,master,behaviour_accuracy,Active minus sham: proportion of reversals on which criterion was reached,Bandit task behaviour (data/bandit),reversal_analysis.compute_trials_to_criterion -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,The quantity the raw TTC mean was silently conditioning on.
delta_win_rate,master,behaviour_accuracy,Active minus sham: proportion rewarded trials,Bandit task behaviour (data/bandit),accuracy_analysis.compute_condition_level_accuracy -> cognitive_merge.build_subject_df,outcome,current,H2.2,by-design,Requires both sessions (H2-eligible subjects only).,
digit_span_total,master,cognition,Digit Span total,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_raw,legacy_composite_input,legacy,,age-gated,"Administered from ~age 56 only (24-28 of 29 aged 56+, 1 of 36 below). Not recoverable.",
dudit_total,master,survey_substance,DUDIT drug use,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_substance_mood,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
education_source,master,demographics,"Which source education_years came from: rf1_raw, island_screener or tabcat",derived,cognitive_merge.build_subject_df,qc,current,,individual,Missing only where education itself is missing.,
education_years,master,demographics,Years of education,RF1 raw -> island screener -> TabCAT (in that order; see education_source),cognitive_merge.build_subject_df,covariate,current,"H1.1, H1.2",,,Sources ranked by agreement: RF1 vs island r=.88; RF1 vs TabCAT r=.35. Unrelated to cognition (r=.07) because of range restriction (63% 16+ y) and an age confound (edu x age r=+.28). VERIFY IN REDCAP: 11885 = 2 y (RF1 and island agree; TabCAT says 18); 10590 = 19 y from RF1 while TabCAT and island both say 7.
ef_composite,master,cognitive_composite,"Legacy executive function (Running Dots, Flanker, Trails B-A)",derived,cognitive_merge.compute_cognitive_composites,legacy,legacy,,,,
ef_n_measures,master,item_count,Inputs behind ef_composite,derived,cognitive_merge.compute_cognitive_composites,qc,legacy,,,,
ef_reduced,master,cognitive_composite,"Uniform executive function domain: Flanker, Set Shifting and Running Dots (inhibition, shifting, updating)",z-scored cognition columns,cognitive_merge.compute_cognitive_composites,covariate_component,current,,,,"Renamed from attention_reduced 2026-09-22: its three tasks are the standard EF components (Miyake et al., 2000). Correlates .91 with the legacy ef_composite."
ef_reduced_n,master,item_count,Inputs behind ef_reduced,derived,cognitive_merge.compute_cognitive_composites,qc,current,,,,
eros_ext_improving,master,survey_affect_social,EROS extrinsic improving,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
eros_ext_worsening,master,survey_affect_social,EROS extrinsic worsening,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
eros_int_improving,master,survey_affect_social,EROS intrinsic improving,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
eros_int_worsening,master,survey_affect_social,EROS intrinsic worsening,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
ethnicity,master,demographics,Ethnicity,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.extract_demographics,descriptive,current,,,,
ffmq_actaware,master,survey_mindfulness,FFMQ facet: actaware,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,exploratory,current,,,,
ffmq_describe,master,survey_mindfulness,FFMQ facet: describe,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,exploratory,current,,,,
ffmq_n_items,master,item_count,Items answered for FFMQ,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,qc,current,,,,
ffmq_nonjudge,master,survey_mindfulness,FFMQ facet: nonjudge,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,exploratory,current,,,,
ffmq_nonreact,master,survey_mindfulness,FFMQ facet: nonreact,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,exploratory,current,,,,
ffmq_observe,master,survey_mindfulness,FFMQ facet: observe,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,exploratory,current,,,,
ffmq_total,master,survey_mindfulness,FFMQ total,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,exploratory,current,,,,
ffmq_total_no_obs,master,survey_mindfulness,FFMQ total excluding Observe facet,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.score_ffmq,exploratory,current,,,,
flanker_score,master,cognition,TabCAT Flanker total score,TabCAT export (TABCAT_PATH + legacy),cognitive_merge.load_tabcat,composite_input,current,,,,"Ceiling: Shapiro W=.92, p<.001. Uses the raw TabCAT score. Do NOT substitute TabCAT *_Z columns: they are age-normed from the tablet DOB, which is wrong for 10606 (TabCAT 66 vs true 22) and 10741 (28 vs 37)."
gender,master,demographics,Gender,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.extract_demographics,covariate,current,,,,
global_composite,master,cognitive_composite,Legacy global cognition (mean of 3 legacy domains),derived,cognitive_merge.compute_cognitive_composites,legacy,legacy,"H1.1, H1.2, H2.2 as preregistered",,,Memory input count tracks age r=+.90. Set COG_COMPOSITE to use it; compare_composites.py runs both.
global_n_domains,master,item_count,Domains behind global_composite,derived,cognitive_merge.compute_cognitive_composites,qc,legacy,,,,
global_reduced,master,cognitive_composite,Global cognition: mean of attention/memory/speed _reduced,derived,cognitive_merge.compute_cognitive_composites,covariate,current,"H1.1, H1.2, H2.2 (COG_COMPOSITE)",,,alpha=.79; KBIT r=+.47; r=.96 with global_composite. 1 of 19 models changes vs legacy (see compare_composites.py).
global_reduced_n,master,item_count,Inputs behind global_reduced (of 6),derived,cognitive_merge.compute_cognitive_composites,qc,current,,,,
gti_score,master,survey_exploratory,GTI score,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 1, 2, 5, 7, 8: added to the RF1 protocol after the first eight subjects. Not recoverable.",
gullibility_insensitivity,master,survey_exploratory,Gullibility: insensitivity,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
gullibility_total,master,survey_exploratory,Gullibility total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
har_score,master,cognition,HAR score,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_fullscoring,exploratory,current,,,,
hvlt_total,master,cognition,HVLT-R total recall,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_fullscoring,composite_input,current,,,,Sole memory input to global_reduced; no age relationship (r=-.16) and near-orthogonal to Flanker.
ios_computer,master,survey_exploratory,Inclusion of Other in Self: computer,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
ios_friend,master,survey_exploratory,Inclusion of Other in Self: friend,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
ios_investment_stranger,master,survey_exploratory,IOS: investment in stranger,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,Added mid-study (IDs 10809+). Not recoverable for earlier subjects.,
ios_shared_reward_stranger,master,survey_exploratory,IOS: shared reward with stranger,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,Added mid-study (IDs 10809+). Not recoverable for earlier subjects.,
ios_stranger,master,survey_exploratory,Inclusion of Other in Self: stranger,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
kbit_iq,master,cognition,KBIT IQ composite,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_fullscoring,validation,current,,,,Independent of global_reduced; convergent validity r=+.47.
loneliness_companionship,master,survey_affect_social,UCLA-3 loneliness: companionship,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_substance_mood,exploratory,current,,age-gated; enrollment-gated,"Present only for ages 57-76 AND enrollment ranks <= 26: part of the older-adult battery, then dropped. Not recoverable.",
loneliness_isolated,master,survey_affect_social,UCLA-3 loneliness: isolated,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_substance_mood,exploratory,current,,age-gated; enrollment-gated,"Present only for ages 57-76 AND enrollment ranks <= 26: part of the older-adult battery, then dropped. Not recoverable.",
loneliness_left_out,master,survey_affect_social,UCLA-3 loneliness: left_out,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_substance_mood,exploratory,current,,age-gated; enrollment-gated,"Present only for ages 57-76 AND enrollment ranks <= 26: part of the older-adult battery, then dropped. Not recoverable.",
loneliness_total,master,survey_affect_social,UCLA-3 loneliness: total,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge.load_rf1_substance_mood,exploratory,current,,age-gated; enrollment-gated,"Present only for ages 57-76 AND enrollment ranks <= 26: part of the older-adult battery, then dropped. Not recoverable.",
mach_iv_total,master,survey_exploratory,Mach-IV total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,age-gated; enrollment-gated,"Answered by 11 subjects, mostly older and early-enrolled -- the same early older-adult battery as PNR and loneliness. Not recoverable.",REDCap returns 20 (the minimum) for an unanswered questionnaire; 20 is treated as missing. 11 real scores (56-95).
memory_composite,master,cognitive_composite,Legacy memory domain (mean of available z-scores),z-scored cognition columns,cognitive_merge.compute_cognitive_composites,legacy,legacy,,,,Input count varies with age; do not use for new work.
memory_n_measures,master,item_count,Inputs behind memory_composite,derived,cognitive_merge.compute_cognitive_composites,qc,legacy,,,,
memory_reduced,master,cognitive_composite,Uniform memory domain (same inputs for every subject),z-scored cognition columns,cognitive_merge.compute_cognitive_composites,covariate_component,current,,,,
memory_reduced_n,master,item_count,Inputs behind memory_reduced,derived,cognitive_merge.compute_cognitive_composites,qc,current,,,,
mspss_family,master,survey_affect_social,MSPSS family,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 1, 2, 5, 7, 8: added to the RF1 protocol after the first eight subjects. Not recoverable.",
mspss_friends,master,survey_affect_social,MSPSS friends,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 1, 2, 5, 7, 8: added to the RF1 protocol after the first eight subjects. Not recoverable.",
mspss_significant_other,master,survey_affect_social,MSPSS significant other,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 1, 2, 5, 7, 8: added to the RF1 protocol after the first eight subjects. Not recoverable.",
mspss_total,master,survey_affect_social,MSPSS total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,enrollment-gated,"Missing for enrollment ranks 1, 2, 5, 7, 8: added to the RF1 protocol after the first eight subjects. Not recoverable.",
nbs_total,master,survey_affect_social,NBS total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
norc_lifetime,master,survey_affect_social,"NODS/NORC gambling, lifetime",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
norc_past_year,master,survey_affect_social,"NODS/NORC gambling, past year",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
panas_post_negative,master,survey_exploratory,"PANAS negative, post-session",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
panas_post_positive,master,survey_exploratory,"PANAS positive, post-session",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
panas_pre_negative,master,survey_exploratory,"PANAS negative, pre-session",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
panas_pre_positive,master,survey_exploratory,"PANAS positive, pre-session",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
planfulness_cs,master,survey_exploratory,Planfulness: cognitive strategies,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
planfulness_mf,master,survey_exploratory,Planfulness: mental focus,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
planfulness_to,master,survey_exploratory,Planfulness: temporal orientation,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
planfulness_total,master,survey_exploratory,Planfulness total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
pnr_negative,master,survey_exploratory,PNR negative,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,age-gated; enrollment-gated,"Present for 9 subjects, 8 of them 59+, all enrollment ranks <= 21. Not recoverable.",
pnr_positive,master,survey_exploratory,PNR positive,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,age-gated; enrollment-gated,"Present for 9 subjects, 8 of them 59+, all enrollment ranks <= 21. Not recoverable.",
present_bias_10wk,master,survey_exploratory,"Present bias, 10-week delay",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
present_bias_14wk,master,survey_exploratory,"Present bias, 14-week delay",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
present_bias_5wk,master,survey_exploratory,"Present bias, 5-week delay",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
present_bias_9wk,master,survey_exploratory,"Present bias, 9-week delay",REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,,,
promis_anxiety,master,survey_health,PROMIS: anxiety,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge._score_promis,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
promis_depression,master,survey_health,PROMIS: depression,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge._score_promis,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
promis_fatigue,master,survey_health,PROMIS: fatigue,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge._score_promis,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
promis_pain,master,survey_health,PROMIS: pain,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge._score_promis,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
promis_physical,master,survey_health,PROMIS: physical,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge._score_promis,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
promis_sleep,master,survey_health,PROMIS: sleep,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge._score_promis,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
promis_social,master,survey_health,PROMIS: social,REDCap RF1 raw export (REDCAP_RF1_RAW_PATH),cognitive_merge._score_promis,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
race,master,demographics,Race,REDCap tACS Bandit export (REDCAP_TACS_PATH),cognitive_merge.extract_demographics,descriptive,current,,,,
rf1_crt_total,master,survey_exploratory,CRT total (RF1 version),REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_exploratory,exploratory,current,,enrollment-gated,Collected for early enrollees only (protocol changed). Not recoverable.,
running_dots_score,master,cognition,TabCAT Running Dots trial score,TabCAT export (TABCAT_PATH + legacy),cognitive_merge.load_tabcat,composite_input,current,,task-level,9 missing; absent from the TabCAT export itself (task not completed). Not recoverable from this export.,"Uses the raw TabCAT score. Do NOT substitute TabCAT *_Z columns: they are age-normed from the tablet DOB, which is wrong for 10606 (TabCAT 66 vs true 22) and 10741 (28 vs 37)."
salthouse_letter,master,cognition,Salthouse letter comparison,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_fullscoring,composite_input,current,,,,
salthouse_pattern,master,cognition,Salthouse pattern comparison,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_fullscoring,composite_input,current,,,,
scaared_gad,master,survey_affect_social,SCAARED generalized anxiety,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
scaared_separation,master,survey_affect_social,SCAARED separation,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
scaared_social,master,survey_affect_social,SCAARED social,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
scaared_somatic,master,survey_affect_social,SCAARED somatic/panic,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
scaared_total,master,survey_affect_social,SCAARED total,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_extended,exploratory,current,,,,
scd_q,master,cognition,Subjective Cognitive Decline Questionnaire,REDCap RF1 FullScoring export (REDCAP_RF1_PATH),cognitive_merge.load_rf1_fullscoring,exploratory,current,,,,
set_shifting_score,master,cognition,TabCAT Set Shifting total score,TabCAT export (TABCAT_PATH + legacy),cognitive_merge.load_tabcat,composite_input,current,,,,"Parsed all along but dropped at the composite merge until 2026-09. Uses the raw TabCAT score. Do NOT substitute TabCAT *_Z columns: they are age-normed from the tablet DOB, which is wrong for 10606 (TabCAT 66 vs true 22) and 10741 (28 vs 37)."
sham_accuracy,master,behaviour_accuracy,Sham session: proportion optimal choices,Bandit task behaviour (data/bandit),accuracy_analysis.compute_condition_level_accuracy -> cognitive_merge.build_subject_df,outcome,current,,,,
sham_alpha,master,behaviour_rl_mle,Sham session: RW learning rate (MLE),Bandit task behaviour (data/bandit),rescorla_wagner.fit_rw_by_condition(method=mle) -> cognitive_merge.build_subject_df,outcome,current,,,,MLE alpha pinned at 0/1 for ~1/3 of subjects; see _hb.
sham_alpha_hb,master,behaviour_rl_hb,"Sham: RW alpha, hierarchical posterior mean",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",outcome,current,,by-design,Hierarchical fit restricted to the 55 subjects with both conditions.,
sham_alpha_sd_hb,master,behaviour_rl_hb,"Sham: RW alpha, posterior SD",derivatives/rl_models/rw_within_all_subjects.csv,"rl_models/run_fit.py (fit_within, NumPyro NUTS) -> cognitive_merge.build_subject_df",qc,current,,by-design,As above.,
sham_asymptotic_acc,master,behaviour_derived,Sham session: proportion correct in the 5 trials before a reversal (stable-contingency performance),Bandit task behaviour (data/bandit),derived_behaviour.compute_derived_behaviour -> build_master_data -> cognitive_merge.build_subject_df,outcome,current,exploratory,,,Trial column recorded from the first session; unused in the pipeline until 2026-09-22.
sham_beta,master,behaviour_rl_mle,Sham session: RW inverse temperature (MLE),Bandit task behaviour (data/bandit),rescorla_wagner.fit_rw_by_condition(method=mle) -> cognitive_merge.build_subject_df,outcome,current,H1.1.1,,,MLE and hierarchical beta disagree (active r=.013); see _hb.
